artigoEmPeriodico	 	2020	2349-6495	http://dx.doi.org/10.22161/ijaers.77.37	The effect of shielding gases in the Ferrite Number of austenitic stainless steels joints through GMAW	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	VICENTE, ANDRÉ DE ALBUQUERQUE ; D'SILVA, PETER ALOYSIUS ; SANTOS, ITALO LEONARDO DOS ; AGUIAR, RENATO RODRIGUES DE ; BOTELHO JUNIOR, AMILTON BARBOSA ; SANTOS, TIAGO FELIPE DE ABREU	B4	
artigoEmPeriodico	 	2020	2249-4618	http://dx.doi.org/10.17406/GJMRA	Copaíba Oral Hydrogel for Oral Mucositis Control	Global Journal of Medical Research - J Dentistry & Otolaryngology	VIDAL, A. K. L. ; Souza, MLM ; MACEDO, T. S. ; MELO, M. C. F. ; OLIVEIRA, J. C ; ARAUJO, M. G. C. ; DE MELO JÚNIOR, BARTOLOMEU CAVALCANTI ; DE MATOS, FÁTIMA CRISTINA MENDES ; CAMPOS, TA ; BARUD, HERNANE DA SILVA ; G. Machado ; Viana de Melo, J. ; Cassilhas, APP ; SILVA, T. G	Qualis nao identificado	Global Journal of Medical Research - J Dentistry & Otolaryngology
artigoEmPeriodico	 	2020	0954-4062	http://dx.doi.org/10.1177/0954406220957053	Influence of welding gases and filler metals on hybrid laser-GMAW and Laser-FCAW welds	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE	WALLERSTEIN, D ; VAAMONDE, E ; PRADA, A ; TORRES, EA ; URTIGA FILHO, SL ; SANTOS, TFA	B1	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS. PART C, JOURNAL OF MECHANICAL ENGINEERING SCIENCE
artigoEmPeriodico	 	2020	1071-7544	http://dx.doi.org/10.1080/10717544.2020.1837296	Radioactive polymeric nanoparticles for biomedical application	DRUG DELIVERY	WU, SHENTIAN ; HELAL-NETO, EDWARD ; MATOS, ANA PAULA DOS SANTOS ; JAFARI, AMIR ; KOZEMPEL, JÁN ; SILVA, YURI JOSÉ DE ALBUQUERQUE ; SERRANO-LARREA, CAROLINA ; ALVES JUNIOR, SEVERINO ; RICCI-JUNIOR, EDUARDO ; ALEXIS, FRANK ; SANTOS-OLIVEIRA, RALPH	Qualis nao identificado	DRUG DELIVERY
artigoEmPeriodico	 	2019	1073-5623	http://dx.doi.org/10.1007/s11661-019-05293-y	Predominant Solidification Modes of 316 Austenitic Stainless Steel Coatings Deposited by Laser Cladding on 304 Stainless Steel Substrates	METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE	APOLINARIO, L. H. R. ; WALLERSTEIN, D. ; MONTEALEGRE, M. A. ; URTIGA FILHO, S. L. ; TORRES, E. A. ; HERMENEGILDO, T. F. C. ; SANTOS, T. F. A.	A2	METALLURGICAL AND MATERIALS TRANSACTIONS. A, PHYSICAL METALLURGY AND MATERIALS SCIENCE
artigoEmPeriodico	 	2019	1526-6125	http://dx.doi.org/10.1016/j.jmapro.2019.05.040	Analysis of the surface roughness and cutting tool wear using a vapor compression assisted cooling system to cool the cutting fluid in turning operation	Journal of Manufacturing Processes	ARAÚJO, ROGÉRIO PONTES ; ROLIM, TIAGO L ; OLIVEIRA, CARLOS A ; MOURA, ALEX E ; SILVA, JOSÉ CARLOS A	B1	JOURNAL OF MANUFACTURING PROCESSES
artigoEmPeriodico	 	2019	1678-4553	http://dx.doi.org/10.1590/0366-69132019653752683	Chemical conversion of a solid body of the composite gypsum/polyhydroxybutyrate in hydroxyapatite/polyhydroxybutyrate	CERÂMICA	BARBOSA, A. A. ; A. JÚNIOR, S. ; DANTAS, A. C. S. ; FERRAZ, A. V.	B3	
artigoEmPeriodico	 	2019	0884-2914	http://dx.doi.org/10.1557/jmr.2019.139	Study of a luminescent and antibacterial biomaterial based on hydroxyapatite as support for an antineoplastic drug	JOURNAL OF MATERIALS RESEARCH	BARBOSA, AMANDA ALVES ; Júnior, Severino Alves ; DE VASCONCELOS FERRAZ, ANDRÉA	B1	
artigoEmPeriodico	 	2019	0103-5053	http://dx.doi.org/10.21577/0103-5053.20190240	Residue-Based CaO Heterogeneous Catalysts from Crab and Mollusk Shells for FAME Production Via Transesterification	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	CARDOSO, CLAUDIA CRISTINA ; CAVALCANTI, ALEXSANDRO ; SILVA, RICARDO ; ALVES JUNIOR, SEVERINO ; DE SOUSA, FABIANA ; PASA, VÂNYA MARCIA ; ARIAS, SANTIAGO ; PACHECO, JOSE	B1	
artigoEmPeriodico	 	2019	1980-5373	http://dx.doi.org/10.1590/1980-5373-mr-2019-0301	Interrelation Among Morphology, Mechanical Properties and Oxidation Behavior of NbxAlyNz Thin Films	MATERIALS RESEARCH	CARVALHO, RENATA GOMES ; FERNANDEZ, DANIEL ANGEL RAMIREZ ; SOARES, VAGNER FONTES DÓRIA ; CUNHA, FREDERICO GUILHERME CARVALHO ; MENDES, FABIANA MAGALHÃES TEIXEIRA ; HÜBLER, ROBERTO ; Machado, Giovanna ; TENTARDINI, EDUARDO KIRINUS	B1	
